State Code,County Code,Latitude,Longitude,Parameter Name,Arithmetic Mean,State Name,County Name,City Name
6,73,32.631242,-117.059088,PM2.5 - Local Conditions,10.936529,California,San Diego,Chula Vista
6,73,32.845709,-117.123964,PM2.5 - Local Conditions,9.015448,California,San Diego,San Diego
6,73,32.845709,-117.123964,PM2.5 - Local Conditions,8.627444,California,San Diego,San Diego
6,73,32.985428,-117.082198,PM2.5 - Local Conditions,8.321578,California,San Diego,San Diego
6,73,32.552824,-117.047345,PM2.5 - Local Conditions,16.684906,California,San Diego,San Diego
8,3,37.469391,-105.878691,PM2.5 - Local Conditions,8.30454,Colorado,Alamosa,Alamosa
8,13,40.012969,-105.267212,PM2.5 - Local Conditions,3.986129,Colorado,Boulder,Boulder
8,99,38.084688,-102.618641,PM2.5 - Local Conditions,5.083087,Colorado,Prowers,Lamar
8,101,38.276099,-104.597613,PM2.5 - Local Conditions,5.258642,Colorado,Pueblo,Pueblo
12,31,30.356339,-81.635396,PM2.5 - Local Conditions,8.669259,Florida,Duval,Jacksonville
12,73,30.439722,-84.346389,PM2.5 - Local Conditions,8.663573,Florida,Leon,Tallahassee
12,86,25.47823,-80.483739,PM2.5 - Local Conditions,6.869583,Florida,Miami-Dade,Homestead
17,119,38.860669,-90.105851,PM2.5 - Local Conditions,7.067559,Illinois,Madison,Wood River
18,3,41.081864,-85.088313,PM2.5 - Local Conditions,8.42832,Indiana,Allen,Fort Wayne
18,37,38.391799,-86.929668,PM2.5 - Local Conditions,9.399077,Indiana,Dubois,Jasper
23,3,46.698422,-68.038403,PM2.5 - Local Conditions,3.699897,Maine,Aroostook,Presque Isle
23,11,44.312319,-69.786717,PM2.5 - Local Conditions,8.162309,Maine,Kennebec,Augusta
26,101,44.307,-86.242649,PM2.5 - Local Conditions,5.548471,Michigan,Manistee,Manistee
36,5,40.81551,-73.88553,PM2.5 - Local Conditions,8.278052,New York,Bronx,New York
36,29,42.876907,-78.809526,PM2.5 - Local Conditions,6.401868,New York,Erie,Buffalo
36,31,44.39308,-73.8589,PM2.5 - Local Conditions,4.750792,New York,Essex,
36,47,40.64182,-74.01871,PM2.5 - Local Conditions,9.020827,New York,Kings,New York
36,47,40.69454,-73.92769,PM2.5 - Local Conditions,9.35189,New York,Kings,New York
36,55,43.145013,-77.55728,PM2.5 - Local Conditions,6.642494,New York,Monroe,Rochester
37,21,35.6062,-82.5844,PM2.5 - Local Conditions,7.689267,North Carolina,Buncombe,Asheville
39,13,39.9679,-80.7464,PM2.5 - Local Conditions,7.461353,Ohio,Belmont,Shadyside
39,35,41.55523,-81.575256,PM2.5 - Local Conditions,6.580243,Ohio,Cuyahoga,Cleveland
39,35,41.471782,-81.656792,PM2.5 - Local Conditions,8.649435,Ohio,Cuyahoga,Cleveland
39,35,41.446624,-81.662356,PM2.5 - Local Conditions,10.660265,Ohio,Cuyahoga,Newburgh Heights
39,49,40.002707,-82.994424,PM2.5 - Local Conditions,10.954859,Ohio,Franklin,Columbus
39,49,39.91251,-83.01159,PM2.5 - Local Conditions,10.08639,Ohio,Franklin,Columbus
39,49,40.0877,-82.959773,PM2.5 - Local Conditions,10.058725,Ohio,Franklin,Columbus
39,95,41.644067,-83.54616,PM2.5 - Local Conditions,10.931943,Ohio,Lucas,Toledo
42,7,40.747796,-80.316442,PM2.5 - Local Conditions,7.704323,Pennsylvania,Beaver,Beaver Falls
42,21,40.309722,-78.915,PM2.5 - Local Conditions,8.014799,Pennsylvania,Cambria,Johnstown
42,43,40.272222,-76.681389,PM2.5 - Local Conditions,10.608886,Pennsylvania,Dauphin,Hershey
42,49,42.14175,-80.038611,PM2.5 - Local Conditions,5.804844,Pennsylvania,Erie,Erie
42,71,40.046667,-76.283333,PM2.5 - Local Conditions,9.701649,Pennsylvania,Lancaster,Lancaster
42,77,40.611944,-75.4325,PM2.5 - Local Conditions,8.197884,Pennsylvania,Lehigh,Allentown
45,79,34.093959,-80.962304,PM2.5 - Local Conditions,8.600689,South Carolina,Richland,Dentsville (Dents)
45,79,34.093959,-80.962304,PM2.5 - Local Conditions,8.600689,South Carolina,Richland,Dentsville (Dents)
45,79,34.075687,-81.124988,PM2.5 - Local Conditions,9.050656,South Carolina,Richland,Columbia
45,79,34.075687,-81.124988,PM2.5 - Local Conditions,9.050656,South Carolina,Richland,Columbia
47,37,36.176382,-86.7389,PM2.5 - Local Conditions,8.882011,Tennessee,Davidson,Nashville
47,37,36.176382,-86.7389,PM2.5 - Local Conditions,8.882011,Tennessee,Davidson,Nashville
47,65,35.050918,-85.293019,PM2.5 - Local Conditions,10.11838,Tennessee,Hamilton,Chattanooga
47,65,35.050918,-85.293019,PM2.5 - Local Conditions,10.11838,Tennessee,Hamilton,Chattanooga
48,29,29.635,-98.4177,PM2.5 - Local Conditions,5.786759,Texas,Bexar,
48,215,26.226343,-98.29085,PM2.5 - Local Conditions,7.694292,Texas,Hidalgo,Mission
48,453,30.263204,-97.712891,PM2.5 - Local Conditions,9.320127,Texas,Travis,Austin
55,73,44.70735,-89.77192,PM2.5 - Local Conditions,10.561314,Wisconsin,Marathon,
4,12,34.2439,-113.5586,PM2.5 - Local Conditions,4.396128,Arizona,La Paz,Wenden
6,27,37.360684,-118.330783,PM2.5 - Local Conditions,2.634328,California,Inyo,
6,51,37.962069,-119.120278,PM2.5 - Local Conditions,2.245036,California,Mono,
8,1,39.8281,-104.93647,PM2.5 - Local Conditions,6.702035,Colorado,Adams,Commerce City
8,1,39.838119,-104.94984,PM2.5 - Local Conditions,6.735596,Colorado,Adams,Welby
8,1,39.838119,-104.94984,PM2.5 - Local Conditions,6.773119,Colorado,Adams,Welby
8,3,37.469391,-105.878691,PM2.5 - Local Conditions,4.429212,Colorado,Alamosa,Alamosa
8,13,40.164576,-105.100856,PM2.5 - Local Conditions,7.848727,Colorado,Boulder,Longmont
8,13,40.164576,-105.100856,PM2.5 - Local Conditions,6.542558,Colorado,Boulder,Longmont
8,13,40.012969,-105.267212,PM2.5 - Local Conditions,4.827011,Colorado,Boulder,Boulder
8,31,39.738578,-104.939925,PM2.5 - Local Conditions,5.884971,Colorado,Denver,Denver
8,31,39.77949,-105.00518,PM2.5 - Local Conditions,5.324658,Colorado,Denver,Denver
8,35,39.534488,-105.070358,PM2.5 - Local Conditions,4.627993,Colorado,Douglas,Roxborough Park
8,97,39.19296,-106.82323,PM2.5 - Local Conditions,5.570101,Colorado,Pitkin,Aspen
8,99,38.084688,-102.618641,PM2.5 - Local Conditions,5.560611,Colorado,Prowers,Lamar
8,101,38.276099,-104.597613,PM2.5 - Local Conditions,4.481484,Colorado,Pueblo,Pueblo
8,123,40.209387,-104.82405,PM2.5 - Local Conditions,8.22481,Colorado,Weld,Platteville
9,1,41.170833,-73.194722,PM2.5 - Local Conditions,5.539199,Connecticut,Fairfield,Bridgeport
9,1,41.399167,-73.443056,PM2.5 - Local Conditions,5.932018,Connecticut,Fairfield,Danbury
9,3,41.771444,-72.679923,PM2.5 - Local Conditions,5.77709,Connecticut,Hartford,Hartford
9,3,41.784722,-72.631667,PM2.5 - Local Conditions,5.259525,Connecticut,Hartford,East Hartford
9,5,41.821342,-73.297257,PM2.5 - Local Conditions,4.030743,Connecticut,Litchfield,Cornwall
